# Wordle feedback patterns with count(yellow + green) < 3
# Sorted by empirical likelihood for opener RAISE against answers.txt
# Format: codes emoji count answers probability
# Total answers: 2309
# Patterns listed: 51

00000 ⬛⬛⬛⬛⬛ 0  167 0.072326
00001 ⬛⬛⬛⬛🟨 1  120 0.051971
00100 ⬛⬛🟨⬛⬛ 1  107 0.046340
10000 🟨⬛⬛⬛⬛ 1  103 0.044608
10001 🟨⬛⬛⬛🟨 2  102 0.044175
01000 ⬛🟨⬛⬛⬛ 1   91 0.039411
02000 ⬛🟩⬛⬛⬛ 1   91 0.039411
00010 ⬛⬛⬛🟨⬛ 1   80 0.034647
11000 🟨🟨⬛⬛⬛ 2   77 0.033348
01001 ⬛🟨⬛⬛🟨 2   69 0.029883
00002 ⬛⬛⬛⬛🟩 1   61 0.026418
00200 ⬛⬛🟩⬛⬛ 1   51 0.022087
01010 ⬛🟨⬛🟨⬛ 2   43 0.018623
00011 ⬛⬛⬛🟨🟨 2   41 0.017757
01002 ⬛🟨⬛⬛🟩 2   41 0.017757
10002 🟨⬛⬛⬛🟩 2   40 0.017324
00101 ⬛⬛🟨⬛🟨 2   35 0.015158
01100 ⬛🟨🟨⬛⬛ 2   34 0.014725
00210 ⬛⬛🟩🟨⬛ 2   29 0.012560
10200 🟨⬛🟩⬛⬛ 2   28 0.012126
02002 ⬛🟩⬛⬛🟩 2   26 0.011260
12000 🟨🟩⬛⬛⬛ 2   26 0.011260
00102 ⬛⬛🟨⬛🟩 2   25 0.010827
10010 🟨⬛⬛🟨⬛ 2   24 0.010394
00202 ⬛⬛🟩⬛🟩 2   23 0.009961
10100 🟨⬛🟨⬛⬛ 2   23 0.009961
01020 ⬛🟨⬛🟩⬛ 2   22 0.009528
00110 ⬛⬛🟨🟨⬛ 2   21 0.009095
00022 ⬛⬛⬛🟩🟩 2   20 0.008662
02001 ⬛🟩⬛⬛🟨 2   20 0.008662
02010 ⬛🟩⬛🟨⬛ 2   20 0.008662
20001 🟩⬛⬛⬛🟨 2   20 0.008662
00012 ⬛⬛⬛🟨🟩 2   17 0.007362
00020 ⬛⬛⬛🟩⬛ 1   17 0.007362
00201 ⬛⬛🟩⬛🟨 2   15 0.006496
02100 ⬛🟩🟨⬛⬛ 2   14 0.006063
10020 🟨⬛⬛🟩⬛ 2   13 0.005630
01200 ⬛🟨🟩⬛⬛ 2   12 0.005197
20000 🟩⬛⬛⬛⬛ 1   10 0.004331
00021 ⬛⬛⬛🟩🟨 2    9 0.003898
00220 ⬛⬛🟩🟩⬛ 2    9 0.003898
22000 🟩🟩⬛⬛⬛ 2    9 0.003898
02020 ⬛🟩⬛🟩⬛ 2    7 0.003032
00120 ⬛⬛🟨🟩⬛ 2    6 0.002599
02200 ⬛🟩🟩⬛⬛ 2    6 0.002599
20002 🟩⬛⬛⬛🟩 2    6 0.002599
20100 🟩⬛🟨⬛⬛ 2    4 0.001732
21000 🟩🟨⬛⬛⬛ 2    4 0.001732
20010 🟩⬛⬛🟨⬛ 2    1 0.000433
20020 🟩⬛⬛🟩⬛ 2    1 0.000433
20200 🟩⬛🟩⬛⬛ 2    1 0.000433
