Sequence     Count  Words
------------------  ----------------------------------------
lls             65  balls, bells, bills, bolls, bulls, calls, cells, cills, colls, culls, dells, dills, dolls, dulls, falls, fells, fills, fulls, galls, gills, gulls, halls, hells, hills, hulls, jells, jills, jolls, kells, kills, lalls, lills, lolls, lulls, malls, mells, mills, molls, mulls, nills, nolls, nulls, palls, pells, pills, polls, pulls, rills, rolls, sells, sills, sulls, talls, tells, tills, tolls, vells, vills, walls, wells, wills, wulls, yells, yills, zills
cks             64  backs, becks, bocks, bucks, cacks, cocks, cucks, dacks, decks, dicks, docks, ducks, fecks, fucks, gecks, gucks, hacks, hecks, hicks, hocks, hucks, jacks, jocks, kacks, kecks, kicks, lacks, licks, locks, lucks, macks, mecks, micks, mocks, mucks, necks, nicks, nocks, oicks, packs, pecks, picks, pocks, pucks, racks, recks, ricks, rocks, rucks, sacks, sicks, socks, sucks, tacks, ticks, tocks, tucks, wacks, wicks, wocks, yacks, yocks, yucks, zacks
nts             54  antsy, aunts, bants, bents, bints, bunts, cants, cents, cunts, dants, dents, dints, dunts, fents, fonts, funts, gants, gents, hants, hents, hints, hunts, kants, kents, lants, lints, lunts, mants, ments, mints, munts, nants, oints, oonts, pants, pents, pints, ponts, punts, rants, rents, ronts, runts, sants, sents, sunts, tents, tints, vants, vents, vints, wants, wents, wonts
lly             52  allyl, bally, belly, billy, bully, celly, colly, cully, dally, delly, dilly, dolly, dully, felly, filly, folly, fully, gally, gelly, gilly, golly, gully, helly, hilly, holly, hully, jelly, jolly, kelly, lolly, milly, molly, nelly, nully, pally, polly, pully, rally, rilly, rolly, rully, sally, silly, sully, tally, telly, tilly, tolly, wally, welly, willy, wolly
ngs             52  angst, bangs, bings, bongs, bungs, cangs, dangs, dings, dongs, dungs, fangs, fungs, gangs, gings, gongs, hangs, hings, hongs, jings, jongs, kangs, kings, lengs, lings, longs, lungs, mangs, mengs, mings, mongs, mungs, nongs, pangs, pings, pongs, pungs, rangs, rengs, rings, rungs, sangs, sings, songs, tangs, tings, tongs, tungs, vangs, wangs, wings, yangs, zings
sts             52  basts, bests, busts, casts, cists, costs, cysts, dusts, easts, fasts, fests, fists, fusts, gasts, gests, gists, gusts, hests, hists, hosts, jests, justs, kests, kists, lasts, lests, lists, lusts, masts, mists, mosts, musts, nests, oasts, ousts, pasts, pests, posts, rests, rists, rosts, rusts, sists, tests, vasts, vests, wasts, wests, wists, xysts, yests, zests
nks             50  banks, binks, bonks, bunks, conks, danks, dinks, dunks, fanks, fenks, finks, funks, ganks, ginks, gonks, gunks, hanks, honks, hunks, jinks, junks, kinks, konks, lanks, links, lunks, manks, minks, monks, nunks, oinks, panks, penks, pinks, ponks, punks, ranks, renks, rinks, sinks, sunks, tanks, tinks, tonks, wanks, winks, wonks, yanks, yonks, zonks
nds             45  bands, bends, binds, bonds, bunds, fands, fends, finds, fonds, funds, hands, hends, hinds, honds, kinds, kunds, kynds, lands, lends, linds, mands, mends, minds, munds, pands, pends, pinds, ponds, rands, rends, rinds, runds, rynds, sands, sends, sinds, synds, tends, tinds, tunds, vends, wands, wends, winds, wynds
rks             44  barks, berks, birks, borks, burks, carks, corks, darks, dirks, dorks, firks, forks, gurks, harks, horks, jarks, jerks, karks, kirks, larks, lirks, lurks, marks, merks, mirks, murks, narks, nerks, norks, parks, perks, pirks, porks, rarks, sarks, serks, turks, warks, works, yarks, yerks, yirks, yorks, zerks
